path,bytes,class,why
docs/statutes/_inbox/C/immovable-goods/non-business-use-of-property.pdf,137183,original,docs/statutes/_inbox/C/immovable-goods/non-business-use-of-property.md
docs/statutes/_inbox/C/immovable-goods/property-developers-renting-out-residential-properties.md,11080,unreferenced,
docs/statutes/_inbox/C/immovable-goods/property-developers-renting-out-residential-properties.pdf,101995,original,docs/statutes/_inbox/C/immovable-goods/property-developers-renting-out-residential-properties.md
docs/statutes/_inbox/C/immovable-goods/rent-to-buy.md,13291,unreferenced,
docs/statutes/_inbox/C/immovable-goods/rent-to-buy.pdf,488104,original,docs/statutes/_inbox/C/immovable-goods/rent-to-buy.md
docs/statutes/_inbox/C/immovable-goods/supply-and-construction-of-qualifying-apartments-and-apartment-blocks.md,17865,unreferenced,
docs/statutes/_inbox/C/immovable-goods/supply-and-construction-of-qualifying-apartments-and-apartment-blocks.pdf,570348,original,docs/statutes/_inbox/C/immovable-goods/supply-and-construction-of-qualifying-apartments-and-apartment-blocks.md
docs/statutes/_inbox/C/immovable-goods/supply-of-property.md,33123,unreferenced,
docs/statutes/_inbox/C/immovable-goods/supply-of-property.pdf,576501,original,docs/statutes/_inbox/C/immovable-goods/supply-of-property.md docs/statutes/_inbox/C/vat-supply-of-property.md
docs/statutes/_inbox/C/immovable-goods/transitional-measures-applying-to-legacy-leases.md,30703,unreferenced,
docs/statutes/_inbox/C/immovable-goods/transitional-measures-applying-to-legacy-leases.pdf,2556181,original,docs/statutes/_inbox/C/immovable-goods/transitional-measures-applying-to-legacy-leases.md
docs/statutes/_inbox/C/immovable-goods/transitional-properties-freehold-or-freehold-equivalent-interests.md,10886,unreferenced,
docs/statutes/_inbox/C/immovable-goods/transitional-properties-freehold-or-freehold-equivalent-interests.pdf,505582,original,docs/statutes/_inbox/C/immovable-goods/transitional-properties-freehold-or-freehold-equivalent-interests.md
docs/statutes/_inbox/C/immovable-goods/vat-rate-for-qualifying-apartments.md,12901,unreferenced,
docs/statutes/_inbox/C/immovable-goods/vat-rate-for-qualifying-apartments.pdf,520042,original,docs/statutes/_inbox/C/immovable-goods/vat-rate-for-qualifying-apartments.md
docs/statutes/_inbox/C/immovable-goods/waiver-of-exemption-transitional-measures.md,4247,unreferenced,
docs/statutes/_inbox/C/immovable-goods/waiver-of-exemption-transitional-measures.pdf,85364,original,docs/statutes/_inbox/C/immovable-goods/waiver-of-exemption-transitional-measures.md
docs/statutes/_inbox/C/margin-schemes/goods-second-hand-goods.md,29532,unreferenced,
docs/statutes/_inbox/C/margin-schemes/goods-second-hand-goods.pdf,2197726,original,docs/statutes/_inbox/C/margin-schemes/goods-second-hand-goods.md
docs/statutes/_inbox/C/margin-schemes/services-auctioneers-margin-scheme.md,11132,unreferenced,
docs/statutes/_inbox/C/margin-schemes/services-auctioneers-margin-scheme.pdf,135856,original,docs/statutes/_inbox/C/margin-schemes/services-auctioneers-margin-scheme.md
docs/statutes/_inbox/C/margin-schemes/services-travel-agents-margin-scheme.md,52711,unreferenced,
docs/statutes/_inbox/C/margin-schemes/services-travel-agents-margin-scheme.pdf,1809983,original,docs/statutes/_inbox/C/margin-schemes/services-travel-agents-margin-scheme.md
docs/statutes/_inbox/C/postponed-accounting/customs-manual-on-import-vat.md,92771,unreferenced,
docs/statutes/_inbox/C/postponed-accounting/customs-manual-on-import-vat.pdf,1380982,original,docs/statutes/_inbox/C/postponed-accounting/customs-manual-on-import-vat.md docs/statutes/import-vat/customs-manual-import-vat.md
docs/statutes/_inbox/C/postponed-accounting/postponed-accounting-page.md,4330,unreferenced,
docs/statutes/_inbox/C/postponed-accounting/postponed-accounting.html,68277,original,docs/statutes/_inbox/C/postponed-accounting/postponed-accounting-page.md
docs/statutes/_inbox/C/postponed-accounting/postponed-accounting.md,25153,cited-docs,docs/statutes/_inbox/C/postponed-accounting/postponed-accounting-page.md
docs/statutes/_inbox/C/postponed-accounting/postponed-accounting.pdf,2070188,original,docs/statutes/_inbox/C/postponed-accounting/postponed-accounting.md
docs/statutes/_inbox/C/vat-and-payment-services.md,11501,unreferenced,
docs/statutes/_inbox/C/vat-and-payment-services.pdf,105038,original,docs/statutes/_inbox/C/financial-services/vat-and-payment-services.md docs/statutes/_inbox/C/vat-and-payment-services.md
docs/statutes/_inbox/C/vat-letting-of-property.md,16975,unreferenced,
docs/statutes/_inbox/C/vat-letting-of-property.pdf,646913,original,docs/statutes/_inbox/C/vat-letting-of-property.md
docs/statutes/_inbox/C/vat-supply-of-property.md,33101,unreferenced,
docs/statutes/_inbox/C/vat-supply-of-property.pdf,576501,original,docs/statutes/_inbox/C/immovable-goods/supply-of-property.md docs/statutes/_inbox/C/vat-supply-of-property.md
docs/statutes/_inbox/C/vat3-rtd/VAT-RTD-S76.md,73294,duplicate,docs/statutes/vat3-rtd/VAT-RTD-S76.md
docs/statutes/_inbox/C/vat3-rtd/VAT-RTD-S76.pdf,683786,duplicate,docs/statutes/vat3-rtd/VAT-RTD-S76.pdf
docs/statutes/_inbox/C/vat3-rtd/completing-vat3-return.html,68792,duplicate,docs/statutes/vat3-rtd/completing-vat3-return.html
docs/statutes/_inbox/C/vat3-rtd/completing-vat3-return.md,2762,duplicate,docs/statutes/vat3-rtd/completing-vat3-return.md
docs/statutes/_inbox/C/vat3-rtd/index.html,63598,original,docs/statutes/_inbox/C/vat3-rtd/index.md
docs/statutes/_inbox/C/vat3-rtd/index.md,1029,unreferenced,
docs/statutes/_inbox/C/vies/vies-and-intrastat.html,70131,duplicate,docs/statutes/vies/vies-and-intrastat.html
docs/statutes/_inbox/C/vies/vies-and-intrastat.md,1969,duplicate,docs/statutes/vies/vies-and-intrastat.md
docs/statutes/_inbox/C/vies/vies-traders-manual.md,68212,duplicate,docs/statutes/vies/vies-traders-manual.md
docs/statutes/_inbox/C/vies/vies-traders-manual.pdf,1766656,duplicate,docs/statutes/vies/vies-traders-manual.pdf
